[SPECIES]	a_ceylanicum
[HMM]	X1	Acey_s0047.g1451.t5 (123.7)
[HMM]	X2	N/A
[HMM]	X3	N/A
[HMM]	X4	N/A
[HMM]	X5	Acey_s0025.g1122.t1 (137.7)
[HMM]	X6a	N/A
[HMM]	X6b	Acey_s0590.g381.t2 (116.5)
[HMM]	X7a	Acey_s0590.g381.t1 (126.0)
[HMM]	X7b	N/A
[HMM]	X8a	N/A
[HMM]	X8b	N/A
[HMM]	X9	Acey_s0590.g380.t1 (150.8)
[HMM]	X10	Acey_s0218.g2433.t2 (139.5)
[HMM]	X11	N/A
[SPECIES]	c_angaria
[HMM]	X1	Cang_2012_03_13_00349.g9576.t1 (157.2)
[HMM]	X2	N/A
[HMM]	X3	N/A
[HMM]	X4	N/A
[HMM]	X5	Cang_2012_03_13_00349.g9578.t1 (129.5)
[HMM]	X6a	N/A
[HMM]	X6b	N/A
[HMM]	X7a	N/A
[HMM]	X7b	N/A
[HMM]	X8a	N/A
[HMM]	X8b	N/A
[HMM]	X9	Cang_2012_03_13_00268.g8182.t1 (146.6)
[HMM]	X10	N/A
[HMM]	X11	N/A
[SPECIES]	c_brenneri
[HMM]	X1	CBN14292 (117.9)
[HMM]	X2	N/A
[HMM]	X3	N/A
[HMM]	X4	N/A
[HMM]	X5	CBN16187 (129.7)
[HMM]	X6a	CBN04649 (127.5)
[HMM]	X6b	N/A
[HMM]	X7a	N/A
[HMM]	X7b	N/A
[HMM]	X8a	N/A
[HMM]	X8b	N/A
[HMM]	X9	CBN22119 (144.9)
[HMM]	X10	CBN07280 (135.8)
[HMM]	X11	CBN14347 (111.1)
[SPECIES]	c_briggsae
[HMM]	X1	CBG09160 (122.1)
[HMM]	X2	N/A
[HMM]	X3	N/A
[HMM]	X4	N/A
[HMM]	X5	CBG09167 (130.0)
[HMM]	X6a	CBG00029 (127.0)
[HMM]	X6b	N/A
[HMM]	X7a	N/A
[HMM]	X7b	N/A
[HMM]	X8a	N/A
[HMM]	X8b	CBG12277 (118.9)
[HMM]	X9	CBG00023 (147.8)
